                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8678,                 3.6038,                 1.6975,                0.13109,                0.11111,                0.03935,                0.00659,                 4.5662,                 4.4221,                 3.0157,                 0.0001,                 0.0001,                 0.0001
                      2,                 3.0351,                  2.121,                 1.4054,                0.45868,                0.11111,                0.11682,                0.02879,                 4.2693,                 1.7596,                 2.4105,             0.00021782,             0.00021782,             0.00021782
                      3,                 2.2208,                 1.1765,                 1.1435,                 0.6802,                0.61111,                0.58096,                0.24623,                 2.2677,                 2.6264,                 1.2596,             0.00033327,             0.00033327,             0.00033327
                      4,                 2.2682,                 1.0208,                 1.1308,                0.84312,                0.66667,                0.71946,                0.34569,                 1.7197,                 2.5985,                 1.0395,             0.00044634,             0.00044634,             0.00044634
                      5,                 2.2152,                0.97418,                 1.1247,                0.97485,                0.72222,                0.73139,                0.41599,                 1.7747,                 1.8318,                 1.0105,             0.00055703,             0.00055703,             0.00055703
                      6,                 2.2628,                0.96701,                 1.1412,                0.76526,                0.72222,                0.73279,                0.30583,                   1.99,                 4.5043,                 1.1139,             0.00066535,             0.00066535,             0.00066535
                      7,                  2.196,                0.93289,                 1.1076,                0.67862,                0.72222,                0.71949,                0.30958,                 1.9897,                 3.8632,                 1.0932,             0.00077129,             0.00077129,             0.00077129
                      8,                 1.9999,                0.78875,                 1.0837,                0.76228,                0.72222,                0.72726,                0.35957,                 2.1694,                 3.2551,                 1.1999,             0.00087486,             0.00087486,             0.00087486
                      9,                 2.3416,                0.79425,                 1.0752,                0.63951,                    0.5,                0.47597,                0.12046,                 3.0298,                 3.4226,                 1.9355,             0.00097605,             0.00097605,             0.00097605
                     10,                 2.3813,                0.82205,                 1.0637,                0.74213,                0.66667,                0.67963,                0.28782,                 2.2157,                 2.9002,                 1.3447,              0.0010749,              0.0010749,              0.0010749
                     11,                 2.0692,                0.71943,                 1.0492,                0.74827,                0.72222,                0.75546,                 0.4186,                 1.9392,                 2.0072,                  1.182,              0.0011713,              0.0011713,              0.0011713
                     12,                 2.1037,                0.81008,                 1.0903,                0.95497,                0.66667,                0.75682,                0.44999,                  1.706,                 1.5155,                 1.0615,              0.0012654,              0.0012654,              0.0012654
                     13,                 2.1512,                0.83619,                 1.0749,                      1,                0.71565,                0.76471,                0.38629,                 1.6876,                 1.1431,                  1.033,               0.001357,               0.001357,               0.001357
                     14,                 1.9699,                0.75105,                 1.0601,                0.97662,                0.72222,                0.75308,                0.40883,                 1.5828,                0.83821,                 1.0054,              0.0014464,              0.0014464,              0.0014464
                     15,                 2.0448,                0.74791,                 1.0429,                 0.9753,                0.72222,                0.74657,                0.32313,                 1.9496,                 1.2037,                 1.0964,              0.0015333,              0.0015333,              0.0015333
                     16,                 1.9465,                 0.7319,                 1.0575,                0.90326,                0.66667,                0.68058,                0.28357,                 2.1969,                 1.2678,                  1.444,              0.0016179,              0.0016179,              0.0016179
                     17,                 1.9329,                0.75641,                 1.0559,                0.88034,                0.66667,                0.68442,                0.29415,                 2.2882,                 1.3374,                 1.6062,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.8069,                0.72847,                 1.0444,                 0.9614,                0.66667,                0.68963,                0.32055,                 2.2953,                 1.2238,                 1.4599,              0.0016832,              0.0016832,              0.0016832
                     19,                  1.969,                0.73478,                 1.0401,                 0.8579,                0.66667,                0.68738,                0.31108,                 2.2425,                 1.3642,                 1.3626,              0.0016634,              0.0016634,              0.0016634
                     20,                  1.793,                0.67686,                  1.013,                0.89101,                0.66667,                0.65003,                0.28873,                 2.2537,                 1.2533,                 1.2601,              0.0016436,              0.0016436,              0.0016436
                     21,                 1.7421,                0.69503,                 1.0087,                0.81073,                0.71437,                0.71194,                0.32314,                 2.0739,                 1.2174,                 1.1547,              0.0016238,              0.0016238,              0.0016238
                     22,                 1.8875,                0.76946,                 1.0502,                 0.8976,                0.66667,                0.68319,                0.29945,                 2.1371,                 1.5384,                 1.2256,               0.001604,               0.001604,               0.001604
                     23,                 1.8636,                0.73786,                 1.0103,                0.90899,                0.66667,                0.66539,                0.33487,                 2.0263,                 1.3778,                  1.197,              0.0015842,              0.0015842,              0.0015842
                     24,                 1.9068,                0.73561,                 1.0333,                0.98855,                0.72222,                 0.7559,                0.42099,                  1.736,                 1.0927,                 1.0842,              0.0015644,              0.0015644,              0.0015644
                     25,                 1.7949,                 0.7138,                 1.0109,                0.92034,                0.66667,                0.68933,                0.39268,                  1.832,                  1.011,                 1.0541,              0.0015446,              0.0015446,              0.0015446
                     26,                 1.7637,                0.71358,                0.99808,                0.85348,                0.72222,                0.73499,                 0.3992,                 1.6461,                 1.0018,                 1.0658,              0.0015248,              0.0015248,              0.0015248
